lam,theta_starter,mode,feature,true,mean_beta,bias,bias_se,bias_in_se,mean_z,sd_z,pred_bias,m,v_over_n,tau2_x
8000.0,0.2285549958306321,loo,fg2m,0.9,0.8486013270444474,-0.05139867295555267,0.016291718618917633,-0.4714811477439411,-0.4859136081503298,0.9359601021911296,-0.03178381994015919,2.0,0.1610719392316637,6.895285328500538
8000.0,0.2285549958306321,loo,ftm,0.5,0.4661728116145438,-0.033827188385456175,0.029736799225209096,-0.19975586325139916,-0.18895709716143455,1.1122416674684725,-0.019266994395473247,1.0,0.10765600822016833,3.801305309430663
8000.0,0.2285549958306321,loo,fg3_miss,-0.7,-0.6722188497737045,0.02778115022629546,0.0176664588641849,0.18425026599820243,0.17933808477736332,0.7284580948524336,0.0121176645077655,-0.75,0.11526948782093671,4.85361308998075
8000.0,0.2285549958306321,loo,fg2_miss,-0.6,-0.5810337542899854,0.018966245710014595,0.014501999156402073,0.16215496012609212,0.16171678873303713,0.7828252983224351,0.008830283114772984,-0.75,0.15760440252828556,9.106750347192644
8000.0,0.2285549958306321,loo,orb,0.5,0.483387851730298,-0.016612148269701976,0.047184974142789805,-0.05237623055405638,-0.06281128225103622,0.9355253627508678,-0.03407013679287281,0.75,0.05632670444918529,0.8435487363952092
8000.0,0.2285549958306321,loo,tov,-1.0,-0.9198381550714352,0.08016184492856482,0.029482844018361248,0.3652427206099529,0.36133990863712895,0.8546295983580361,0.03261071233129098,-1.0,0.07942902472483779,1.6570186457186484
8000.0,0.13681573111373557,crossfit,fg3m,1.6,1.615900673064596,0.01590067306459586,0.03546243611413354,0.0648343872757855,0.06302555016846507,0.9281955602114693,0.0,3.0,0.06954800621802508,1.5853920355038893
8000.0,0.13681573111373557,crossfit,fg2m,0.9,0.898623348306829,-0.001376651693171027,0.016645620179952175,-0.01359872237630937,-0.03406982447643951,1.0253678998473559,0.0,2.0,0.1610719392316637,6.895285328500538
8000.0,0.13681573111373557,crossfit,ftm,0.5,0.5096207074609813,0.009620707460981315,0.029975983014592113,0.0606934334117748,0.06605926092369423,1.2030501031605276,0.0,1.0,0.10765600822016833,3.801305309430663
8000.0,0.13681573111373557,crossfit,fg3_miss,-0.7,-0.7008094177504187,-0.0008094177504187616,0.017498674263061235,-0.0057267226538757505,-0.010917883389847293,0.7764432469277865,0.0,-0.75,0.11526948782093671,4.85361308998075
8000.0,0.13681573111373557,crossfit,fg2_miss,-0.6,-0.5987096862595214,0.0012903137404786102,0.015065539881203063,0.011866168972545898,0.01131415890267802,0.8744801026897483,0.0,-0.75,0.15760440252828556,9.106750347192644
8000.0,0.13681573111373557,crossfit,orb,0.5,0.5621417251330498,0.06214172513304983,0.04879632691784522,0.2072731793902876,0.19692673533741206,1.0322687428186357,0.0,0.75,0.05632670444918529,0.8435487363952092
