window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2015-2017,2016.0,DRB,drb,offense,-0.0319,0.0601,-0.1497,0.0859
2018-2020,2019.0,DRB,drb,offense,-0.1021,0.0574,-0.2147,0.0104
2021-2023,2022.0,DRB,drb,offense,0.0021,0.0565,-0.1085,0.1128
2024-2026,2025.0,DRB,drb,offense,0.0502,0.0604,-0.0682,0.1686
1997-1999,1998.0,2P miss,fg2_miss,offense,-0.5274,0.0823,-0.6886,-0.3662
2000-2002,2001.0,2P miss,fg2_miss,offense,-0.437,0.079,-0.5917,-0.2823
2003-2005,2004.0,2P miss,fg2_miss,offense,-0.5895,0.081,-0.7483,-0.4307
2006-2008,2007.0,2P miss,fg2_miss,offense,-0.5638,0.0777,-0.7162,-0.4115
2009-2011,2010.0,2P miss,fg2_miss,offense,-0.6096,0.0808,-0.7679,-0.4512
2012-2014,2013.0,2P miss,fg2_miss,offense,-0.5687,0.073,-0.7117,-0.4257
2015-2017,2016.0,2P miss,fg2_miss,offense,-0.6219,0.081,-0.7806,-0.4631
2018-2020,2019.0,2P miss,fg2_miss,offense,-0.4647,0.0842,-0.6296,-0.2997
2021-2023,2022.0,2P miss,fg2_miss,offense,-0.4945,0.0846,-0.6603,-0.3286
2024-2026,2025.0,2P miss,fg2_miss,offense,-0.6395,0.0946,-0.8249,-0.454
1997-1999,1998.0,2PM,fg2m,offense,0.7481,0.0943,0.5633,0.9329
2000-2002,2001.0,2PM,fg2m,offense,0.7885,0.0893,0.6134,0.9636
2003-2005,2004.0,2PM,fg2m,offense,0.8909,0.0961,0.7025,1.0793
2006-2008,2007.0,2PM,fg2m,offense,0.8738,0.0885,0.7003,1.0472
2009-2011,2010.0,2PM,fg2m,offense,0.8144,0.09,0.638,0.9909
2012-2014,2013.0,2PM,fg2m,offense,0.6797,0.0851,0.5128,0.8465
2015-2017,2016.0,2PM,fg2m,offense,0.7797,0.0909,0.6015,0.9578
2018-2020,2019.0,2PM,fg2m,offense,0.5686,0.0894,0.3935,0.7438
2021-2023,2022.0,2PM,fg2m,offense,0.616,0.0834,0.4524,0.7795
2024-2026,2025.0,2PM,fg2m,offense,0.6591,0.085,0.4926,0.8256
1997-1999,1998.0,3P miss,fg3_miss,offense,0.2326,0.166,-0.0927,0.558
2000-2002,2001.0,3P miss,fg3_miss,offense,-0.0865,0.1741,-0.4277,0.2547
2003-2005,2004.0,3P miss,fg3_miss,offense,0.3134,0.1811,-0.0415,0.6683
2006-2008,2007.0,3P miss,fg3_miss,offense,-0.1186,0.1621,-0.4363,0.199
2009-2011,2010.0,3P miss,fg3_miss,offense,0.1739,0.16,-0.1396,0.4874
2012-2014,2013.0,3P miss,fg3_miss,offense,-0.0936,0.1321,-0.3525,0.1653
2015-2017,2016.0,3P miss,fg3_miss,offense,-0.1216,0.1263,-0.3691,0.1259
2018-2020,2019.0,3P miss,fg3_miss,offense,-0.1032,0.1207,-0.3398,0.1333
