side,feature,beta,se,run,window,window_mid,first_season,last_season,lam,label,sign_convention
O,pf,-0.321466801295635,0.08321601795465734,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,PF (offense),D flipped: positive = good on both sides
D,fg3m,-0.3726268991468705,0.2642929973047356,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,3PM (defense),D flipped: positive = good on both sides
D,fg3_miss,-0.12747541863715184,0.15738639582091365,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,3P miss (defense),D flipped: positive = good on both sides
D,fg2m,0.26394184842436974,0.09371919679302043,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,2PM (defense),D flipped: positive = good on both sides
D,fg2_miss,-0.38599598957281045,0.08170213324969545,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,2P miss (defense),D flipped: positive = good on both sides
D,ftm,0.08868287454522025,0.09090828647888607,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,FTM (defense),D flipped: positive = good on both sides
D,ft_miss,-0.04795656267177108,0.19946003282332583,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,FT miss (defense),D flipped: positive = good on both sides
D,orb,-0.2917286745734653,0.12416837318461608,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,ORB (defense),D flipped: positive = good on both sides
D,drb,0.4696833636877086,0.07736259689016095,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,DRB (defense),D flipped: positive = good on both sides
D,ast,0.09426415352440153,0.06810755343707546,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,AST (defense),D flipped: positive = good on both sides
D,tov,-0.6019514314260647,0.19138726150236898,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,TOV (defense),D flipped: positive = good on both sides
D,stl,1.4399626784878319,0.2231435537727917,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,STL (defense),D flipped: positive = good on both sides
D,blk,0.8174081977308787,0.13840017512654362,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,BLK (defense),D flipped: positive = good on both sides
D,pf,0.20528646853068566,0.09116178270215289,lam_div3,1997-1999,1998.0,1997,1999,2371.2666666666664,PF (defense),D flipped: positive = good on both sides
O,fg3m,0.4997705988557514,0.2071757134533672,gt_half,1997-1999,1998.0,1997,1999,7113.8,3PM (offense),D flipped: positive = good on both sides
O,fg3_miss,0.24374115167658128,0.12341589918459396,gt_half,1997-1999,1998.0,1997,1999,7113.8,3P miss (offense),D flipped: positive = good on both sides
O,fg2m,0.705704160749365,0.07406036751104199,gt_half,1997-1999,1998.0,1997,1999,7113.8,2PM (offense),D flipped: positive = good on both sides
O,fg2_miss,-0.5438359613374263,0.0632559710446814,gt_half,1997-1999,1998.0,1997,1999,7113.8,2P miss (offense),D flipped: positive = good on both sides
O,ftm,0.561485020534809,0.06928997698833628,gt_half,1997-1999,1998.0,1997,1999,7113.8,FTM (offense),D flipped: positive = good on both sides
O,ft_miss,-0.13918953451020674,0.15435681014020686,gt_half,1997-1999,1998.0,1997,1999,7113.8,FT miss (offense),D flipped: positive = good on both sides
O,orb,0.3231943528513477,0.09688159829918638,gt_half,1997-1999,1998.0,1997,1999,7113.8,ORB (offense),D flipped: positive = good on both sides
O,drb,0.09212192509140307,0.06283313017272635,gt_half,1997-1999,1998.0,1997,1999,7113.8,DRB (offense),D flipped: positive = good on both sides
O,ast,0.46769342345789455,0.05400041757245993,gt_half,1997-1999,1998.0,1997,1999,7113.8,AST (offense),D flipped: positive = good on both sides
O,tov,-0.7359456566581375,0.1449087107358147,gt_half,1997-1999,1998.0,1997,1999,7113.8,TOV (offense),D flipped: positive = good on both sides
O,stl,0.34744579329517705,0.16611914007221878,gt_half,1997-1999,1998.0,1997,1999,7113.8,STL (offense),D flipped: positive = good on both sides
O,blk,0.09799847572736317,0.10904381452390204,gt_half,1997-1999,1998.0,1997,1999,7113.8,BLK (offense),D flipped: positive = good on both sides
O,pf,-0.30148008302948043,0.07123665696872168,gt_half,1997-1999,1998.0,1997,1999,7113.8,PF (offense),D flipped: positive = good on both sides
D,fg3m,-0.38201900979743614,0.22042006055637406,gt_half,1997-1999,1998.0,1997,1999,7113.8,3PM (defense),D flipped: positive = good on both sides
D,fg3_miss,-0.07001106582102638,0.1313457608544089,gt_half,1997-1999,1998.0,1997,1999,7113.8,3P miss (defense),D flipped: positive = good on both sides
D,fg2m,0.22920919664212605,0.07844874013582402,gt_half,1997-1999,1998.0,1997,1999,7113.8,2PM (defense),D flipped: positive = good on both sides
D,fg2_miss,-0.35610738948632364,0.06738229119143625,gt_half,1997-1999,1998.0,1997,1999,7113.8,2P miss (defense),D flipped: positive = good on both sides
D,ftm,0.08024509761699863,0.0741636996347767,gt_half,1997-1999,1998.0,1997,1999,7113.8,FTM (defense),D flipped: positive = good on both sides
D,ft_miss,0.005804776057577038,0.16456439759662733,gt_half,1997-1999,1998.0,1997,1999,7113.8,FT miss (defense),D flipped: positive = good on both sides
D,orb,-0.3001028676890133,0.10290863073138813,gt_half,1997-1999,1998.0,1997,1999,7113.8,ORB (defense),D flipped: positive = good on both sides
D,drb,0.5564496661681512,0.06594565434919104,gt_half,1997-1999,1998.0,1997,1999,7113.8,DRB (defense),D flipped: positive = good on both sides
D,ast,0.11923872708156646,0.05719374341013123,gt_half,1997-1999,1998.0,1997,1999,7113.8,AST (defense),D flipped: positive = good on both sides
D,tov,-0.682867281494001,0.15575807891612756,gt_half,1997-1999,1998.0,1997,1999,7113.8,TOV (defense),D flipped: positive = good on both sides
D,stl,1.4111176667298773,0.17891229185236113,gt_half,1997-1999,1998.0,1997,1999,7113.8,STL (defense),D flipped: positive = good on both sides
D,blk,0.7268127799775965,0.11533665911679356,gt_half,1997-1999,1998.0,1997,1999,7113.8,BLK (defense),D flipped: positive = good on both sides
D,pf,0.25156967688768633,0.07569458518649258,gt_half,1997-1999,1998.0,1997,1999,7113.8,PF (defense),D flipped: positive = good on both sides
O,fg3m,0.5250100226866228,0.20900144394770281,gt_zero,1997-1999,1998.0,1997,1999,7113.8,3PM (offense),D flipped: positive = good on both sides
O,fg3_miss,0.22591003042035598,0.12457222385939858,gt_zero,1997-1999,1998.0,1997,1999,7113.8,3P miss (offense),D flipped: positive = good on both sides
O,fg2m,0.7143242781532461,0.07458275771902256,gt_zero,1997-1999,1998.0,1997,1999,7113.8,2PM (offense),D flipped: positive = good on both sides
O,fg2_miss,-0.5618934784303751,0.06367950282435746,gt_zero,1997-1999,1998.0,1997,1999,7113.8,2P miss (offense),D flipped: positive = good on both sides
O,ftm,0.5489505900353582,0.06941583022936164,gt_zero,1997-1999,1998.0,1997,1999,7113.8,FTM (offense),D flipped: positive = good on both sides
O,ft_miss,-0.11381650218880668,0.15476878703400263,gt_zero,1997-1999,1998.0,1997,1999,7113.8,FT miss (offense),D flipped: positive = good on both sides
O,orb,0.3284031113841356,0.09739401769775324,gt_zero,1997-1999,1998.0,1997,1999,7113.8,ORB (offense),D flipped: positive = good on both sides
O,drb,0.0845800459244277,0.06322129070636712,gt_zero,1997-1999,1998.0,1997,1999,7113.8,DRB (offense),D flipped: positive = good on both sides
O,ast,0.46950998311757686,0.05421913652417088,gt_zero,1997-1999,1998.0,1997,1999,7113.8,AST (offense),D flipped: positive = good on both sides
O,tov,-0.7133617689573808,0.1455654968241198,gt_zero,1997-1999,1998.0,1997,1999,7113.8,TOV (offense),D flipped: positive = good on both sides
O,stl,0.3721348272307563,0.1662604078693503,gt_zero,1997-1999,1998.0,1997,1999,7113.8,STL (offense),D flipped: positive = good on both sides
O,blk,0.10166339451954459,0.10916877422529316,gt_zero,1997-1999,1998.0,1997,1999,7113.8,BLK (offense),D flipped: positive = good on both sides
O,pf,-0.3074672300267958,0.07174478890449248,gt_zero,1997-1999,1998.0,1997,1999,7113.8,PF (offense),D flipped: positive = good on both sides
D,fg3m,-0.3841332655286971,0.2224519831541358,gt_zero,1997-1999,1998.0,1997,1999,7113.8,3PM (defense),D flipped: positive = good on both sides
D,fg3_miss,-0.07286334886395518,0.1326493242092332,gt_zero,1997-1999,1998.0,1997,1999,7113.8,3P miss (defense),D flipped: positive = good on both sides
