lam,ratio,n,corr_off,corr_def,corr_total,alpha,sd_rating
10898.695706007875,0.5,2133,0.6103761538093851,0.5848772209005666,0.5747442238450076,0.8049099019821732,2.9293473042124645
14227.57321796025,0.5,2133,0.6101716167117232,0.5841326296015809,0.5704048395964719,0.8359313433218138,2.8744583696999415
18573.216936484812,0.5,2133,0.6092067933388764,0.5816717070360932,0.5648730334442641,0.8637281053636562,2.8278016014245764
24246.18605611949,0.5,2133,0.607703292581071,0.5776342406194064,0.5584612101453948,0.8880426519969914,2.7887913466051497
31651.896398902696,0.5,2133,0.6058702300630981,0.5723072837826598,0.5515201317349673,0.9089283964429076,2.7565309810729
41319.593247698205,0.5,2133,0.6038853900123559,0.5660605384255136,0.54438831948656,0.9266364574867065,2.7300279357890385
53940.17358828521,0.5,2133,0.6018877586527509,0.5592787005141624,0.5373562967344724,0.9415006389806463,2.70835065463125
70415.56070730239,0.5,2133,0.5999778601943104,0.5523115751671172,0.5306497592356346,0.9538580381481653,2.690706078388737
91923.1596763094,0.5,2133,0.5982220659599234,0.5454488467859461,0.5244282432784035,0.9640151598663951,2.6764484411010967
120000.0,0.5,2133,0.5966583076084042,0.5389143073367556,0.5187925816174979,0.9722475493414627,2.6650483944272474
200.0,1.0,2133,0.5425102347778353,0.5428641251480029,0.5443385787598438,0.46447214428198114,3.8553497973088335
261.08763106611656,1.0,2133,0.5457562271766867,0.5451804354006343,0.5466413615832427,0.47360697270541025,3.818066547315654
340.83375547858265,1.0,2133,0.5495703736907906,0.5479170212578182,0.5493032912241328,0.4847451172934686,3.7740336577924203
444.93738902635585,1.0,2133,0.5539749044897385,0.55110135059635,0.5523165049524295,0.4982165657373938,3.7227527913739547
580.8382443681718,1.0,2133,0.558963446644419,0.5547411747391781,0.5556439038995659,0.5143567108257477,3.6639736300975163
758.2484062734396,1.0,2133,0.5644915799502834,0.5588129944293976,0.5592091361274688,0.5334792045006559,3.597800716552331
989.8464007679534,1.0,2133,0.5704678656045025,0.5632478017415508,0.5628868730982391,0.5558349857657326,3.5247945658185285
1292.1832594791324,1.0,2133,0.5767471133056001,0.5679155141145261,0.5664956321201896,0.5815558618833032,3.4460460904164103
1686.8653306034985,1.0,2133,0.5831286196997857,0.572611601980545,0.569796607838477,0.6105853653986565,3.363197741795966
2202.0983654741444,1.0,2133,0.5893629114331912,0.5770520632592339,0.5725031075272893,0.6426079657273462,3.278383481857356
2874.703228081056,1.0,2133,0.5951702140780776,0.5808848201661143,0.5743050461270406,0.6769988173740139,3.1940686539870646
3752.747279189005,1.0,2133,0.6002714130013085,0.5837244511143129,0.5749099342407336,0.712824397508886,3.112794456198611
4898.979485566359,1.0,2133,0.6044275456375244,0.5852106113459007,0.5740952103838527,0.7489199098417187,3.0368669365731042
6395.314742640107,1.0,2133,0.6074785508772595,0.5850788799566881,0.5717586334153473,0.7840447351400237,2.9680632278788486
8348.687880390582,1.0,2133,0.6093693608951475,0.5832215840853086,0.5679488466052981,0.8170783473852716,2.907437718312233
10898.695706007875,1.0,2133,0.6101542409928464,0.579714387274061,0.5628623792379002,0.8471896191513049,2.8552844935521504
14227.57321796025,1.0,2133,0.6099781404632378,0.5747969820567949,0.5568063158360562,0.8739182625063253,2.811256864178791
18573.216936484812,1.0,2133,0.6090425046643606,0.5688168893531742,0.5501403754695414,0.8971499385717383,2.7745881155630574
24246.18605611949,1.0,2133,0.6075675194750438,0.5621603473776009,0.5432189132917594,0.9170172204813656,2.7443300858018014
31651.896398902696,1.0,2133,0.6057612361750186,0.5551944568355919,0.5363490953011761,0.9337832761634163,2.7195385653174036
41319.593247698205,1.0,2133,0.6038006176944418,0.5482329613954526,0.5297708879817201,0.9477543031897274,2.6993732272180746
53940.17358828521,1.0,2133,0.6018240295318488,0.5415243207522831,0.5236549485057217,0.959236701456868,2.683120468132435
70415.56070730239,1.0,2133,0.5999316156212701,0.5352531314048224,0.5181103490791296,0.9685284209656214,2.6701715485803783
91923.1596763094,1.0,2133,0.5981896691879621,0.5295460596094069,0.5131951348843805,0.9759234847346453,2.6599905448776093
120000.0,1.0,2133,0.5966363558087661,0.5244778610631173,0.508926185427918,0.9817134445982307,2.652093458168257
