window,window_mid,feature_i,feature_j,corr,sd_i
2000-2002,2001.0,fg2m,stl,-0.1098,2.2963
2000-2002,2001.0,fg2m,blk,0.2159,2.2963
2000-2002,2001.0,fg2m,pf,-0.1128,2.2963
2000-2002,2001.0,fg2_miss,fg3m,-0.2779,2.4048
2000-2002,2001.0,fg2_miss,fg3_miss,-0.2407,2.4048
2000-2002,2001.0,fg2_miss,fg2m,0.8787,2.4048
2000-2002,2001.0,fg2_miss,fg2_miss,1.0,2.4048
2000-2002,2001.0,fg2_miss,ftm,0.6158,2.4048
2000-2002,2001.0,fg2_miss,ft_miss,0.3862,2.4048
2000-2002,2001.0,fg2_miss,orb,0.1074,2.4048
2000-2002,2001.0,fg2_miss,drb,0.1317,2.4048
2000-2002,2001.0,fg2_miss,ast,0.0143,2.4048
2000-2002,2001.0,fg2_miss,tov,0.4665,2.4048
2000-2002,2001.0,fg2_miss,stl,-0.0534,2.4048
2000-2002,2001.0,fg2_miss,blk,0.0579,2.4048
2000-2002,2001.0,fg2_miss,pf,-0.1206,2.4048
2000-2002,2001.0,ftm,fg3m,-0.0985,1.7694
2000-2002,2001.0,ftm,fg3_miss,-0.0945,1.7694
2000-2002,2001.0,ftm,fg2m,0.6685,1.7694
2000-2002,2001.0,ftm,fg2_miss,0.6158,1.7694
2000-2002,2001.0,ftm,ftm,1.0,1.7694
2000-2002,2001.0,ftm,ft_miss,0.54,1.7694
2000-2002,2001.0,ftm,orb,0.1079,1.7694
2000-2002,2001.0,ftm,drb,0.176,1.7694
2000-2002,2001.0,ftm,ast,0.0419,1.7694
2000-2002,2001.0,ftm,tov,0.4966,1.7694
2000-2002,2001.0,ftm,stl,-0.0067,1.7694
2000-2002,2001.0,ftm,blk,0.1187,1.7694
2000-2002,2001.0,ftm,pf,-0.173,1.7694
2000-2002,2001.0,ft_miss,fg3m,-0.4195,0.7809
2000-2002,2001.0,ft_miss,fg3_miss,-0.4004,0.7809
2000-2002,2001.0,ft_miss,fg2m,0.5278,0.7809
2000-2002,2001.0,ft_miss,fg2_miss,0.3862,0.7809
2000-2002,2001.0,ft_miss,ftm,0.54,0.7809
2000-2002,2001.0,ft_miss,ft_miss,1.0,0.7809
2000-2002,2001.0,ft_miss,orb,0.5296,0.7809
2000-2002,2001.0,ft_miss,drb,0.4647,0.7809
2000-2002,2001.0,ft_miss,ast,-0.233,0.7809
2000-2002,2001.0,ft_miss,tov,0.319,0.7809
2000-2002,2001.0,ft_miss,stl,-0.1578,0.7809
2000-2002,2001.0,ft_miss,blk,0.5132,0.7809
2000-2002,2001.0,ft_miss,pf,0.198,0.7809
2000-2002,2001.0,orb,fg3m,-0.6425,1.5807
2000-2002,2001.0,orb,fg3_miss,-0.6644,1.5807
2000-2002,2001.0,orb,fg2m,0.2401,1.5807
2000-2002,2001.0,orb,fg2_miss,0.1074,1.5807
2000-2002,2001.0,orb,ftm,0.1079,1.5807
2000-2002,2001.0,orb,ft_miss,0.5296,1.5807
