window,feature,stat,coef_defense,coef_offense,coef_total,coef_playoff_defense,coef_playoff_offense,coef_playoff_total,se_defense,se_offense,se_total,se_playoff_defense,se_playoff_offense,se_playoff_total
2000-2002,pf,PF,0.1627,-0.2976,-0.1349,0.1313,-0.1113,0.02,0.0841,0.0755,0.1138,0.298,0.2956,0.391
2000-2002,stl,STL,1.4987,0.3283,1.827,1.7946,0.6519,2.4465,0.2103,0.1844,0.2804,0.6687,0.6578,0.9534
2000-2002,tov,TOV,-0.5618,-1.0493,-1.6111,-0.3318,-1.4571,-1.7889,0.1803,0.1583,0.2394,0.6454,0.6359,0.8602
2003-2005,ast,AST,0.1737,0.57,0.7437,0.0982,0.1717,0.27,0.0673,0.0605,0.091,0.2146,0.2127,0.2863
2003-2005,blk,BLK,1.0255,-0.0118,1.0137,0.2079,0.9107,1.1185,0.1303,0.1176,0.1766,0.4535,0.4488,0.6327
2003-2005,drb,DRB,0.3396,-0.0328,0.3069,0.7582,-0.0843,0.674,0.0767,0.0696,0.1045,0.2492,0.2466,0.3516
2003-2005,fg2_miss,2P miss,-0.2179,-0.5906,-0.8085,0.0257,-0.4604,-0.4348,0.0895,0.0809,0.12,0.3306,0.3284,0.4666
2003-2005,fg2m,2PM,0.0049,0.8915,0.8964,0.1356,0.9399,1.0755,0.1059,0.0959,0.1436,0.3583,0.3552,0.5283
2003-2005,fg3_miss,3P miss,-0.5401,0.2992,-0.2408,-0.1678,-0.0717,-0.2395,0.1995,0.1806,0.2694,0.616,0.6082,0.8671
2003-2005,fg3m,3PM,0.7367,0.8508,1.5875,0.0369,1.7871,1.824,0.3411,0.3089,0.4598,1.0782,1.0657,1.5364
2003-2005,ft_miss,FT miss,-0.0262,-0.3292,-0.3554,0.7867,-0.3429,0.4438,0.1875,0.1647,0.2487,0.485,0.474,0.6619
2003-2005,ftm,FTM,0.1681,0.6611,0.8292,-0.0029,0.1054,0.1026,0.0797,0.071,0.1069,0.2529,0.2497,0.3489
2003-2005,orb,ORB,-0.0234,0.6408,0.6174,-0.4099,0.624,0.2141,0.1258,0.1131,0.1696,0.3955,0.3905,0.5661
2003-2005,pf,PF,0.2076,-0.2405,-0.0329,0.1306,-0.5414,-0.4108,0.0871,0.0791,0.1184,0.2784,0.2764,0.374
2003-2005,stl,STL,1.2748,0.3507,1.6254,2.5123,0.3992,2.9116,0.2102,0.186,0.2815,0.6359,0.6264,0.8507
2003-2005,tov,TOV,-0.6849,-0.9857,-1.6706,-1.5576,0.1323,-1.4253,0.1817,0.1592,0.2401,0.581,0.5728,0.7625
2006-2008,ast,AST,0.139,0.3939,0.5329,0.1632,0.6347,0.7979,0.0637,0.0575,0.0864,0.1998,0.1971,0.2713
2006-2008,blk,BLK,0.8129,-0.1826,0.6303,0.2424,0.0592,0.3015,0.1357,0.1225,0.1832,0.4452,0.4405,0.6135
2006-2008,drb,DRB,0.4015,0.0691,0.4707,0.3204,0.0176,0.338,0.073,0.066,0.0995,0.2247,0.2221,0.3169
2006-2008,fg2_miss,2P miss,-0.249,-0.5627,-0.8116,-0.3829,-0.2281,-0.611,0.0877,0.0775,0.1165,0.261,0.2562,0.3777
2006-2008,fg2m,2PM,0.0687,0.8728,0.9415,0.049,0.4915,0.5405,0.099,0.0882,0.1327,0.2987,0.2941,0.4343
2006-2008,fg3_miss,3P miss,-0.2297,-0.1136,-0.3434,-0.0723,-0.3833,-0.4555,0.1777,0.1615,0.2408,0.5469,0.5389,0.7813
2006-2008,fg3m,3PM,0.1193,1.2709,1.3902,-0.1408,1.8267,1.6859,0.2907,0.2636,0.3929,0.8962,0.8823,1.269
2006-2008,ft_miss,FT miss,0.0471,-0.3945,-0.3474,0.6303,0.3609,0.9912,0.1811,0.1608,0.2428,0.4955,0.4859,0.703
2006-2008,ftm,FTM,0.0327,0.6355,0.6682,0.1873,0.6352,0.8225,0.0787,0.0696,0.1047,0.2251,0.2215,0.2959
2006-2008,orb,ORB,-0.1195,0.506,0.3866,0.2262,0.6689,0.8951,0.1302,0.1162,0.1756,0.4112,0.4056,0.5854
2006-2008,pf,PF,0.0436,-0.2895,-0.2458,0.097,-0.2833,-0.1863,0.0882,0.0797,0.1201,0.302,0.2983,0.44
2006-2008,stl,STL,1.2858,0.8494,2.1352,0.9076,-0.5759,0.3317,0.224,0.2,0.3023,0.7275,0.7191,1.0316
2006-2008,tov,TOV,-0.5191,-0.7543,-1.2734,-0.4056,-1.2978,-1.7035,0.1873,0.1645,0.2479,0.5713,0.5608,0.7306
