lam,ratio,c,corr_total,corr_off,corr_def
580.8382443681718,0.1,0.4,0.44841473916527586,0.4290316240220617,0.4415173042988898
580.8382443681718,0.1,0.5,0.475316027965858,0.4648482428963602,0.464338618572286
580.8382443681718,0.1,0.6,0.49759003639921917,0.4934118016954533,0.4839591849774135
580.8382443681718,0.1,0.7,0.515685269245398,0.5160289776322879,0.5006266263157043
580.8382443681718,0.1,0.8,0.5301380950867124,0.5338908812309877,0.5146368218248537
580.8382443681718,0.1,0.9,0.5415009008975263,0.5480037274256327,0.5263031978390954
580.8382443681718,0.1,1.0,0.5502955182134593,0.5591812467866362,0.5359344766035897
580.8382443681718,0.1,1.1,0.5569882354709063,0.5680652565893507,0.5438203144519064
580.8382443681718,0.18,0.4,0.4498409384871618,0.42893549594203145,0.4439074191973013
580.8382443681718,0.18,0.5,0.47677100778000475,0.46477840015301647,0.46690572450407536
580.8382443681718,0.18,0.6,0.49899747401697786,0.49336083929887337,0.4866073861390713
580.8382443681718,0.18,0.7,0.5169916236046674,0.5159911407635,0.5032775793308965
580.8382443681718,0.18,0.8,0.5313104754536909,0.5338619501933146,0.5172302441843329
580.8382443681718,0.18,0.9,0.5425230216059965,0.5479807224528027,0.5287954877993029
580.8382443681718,0.18,1.0,0.5511632479669277,0.5591621155747598,0.5382963211071293
580.8382443681718,0.18,1.1,0.5577056107592905,0.5680486099614641,0.5460339546779286
580.8382443681718,0.2872,0.4,0.45152608831845,0.42883079782240396,0.44685919020369397
580.8382443681718,0.2872,0.5,0.47847963958156964,0.4646997298797553,0.47006404996858875
580.8382443681718,0.2872,0.6,0.5006370333179246,0.49330087442166315,0.48985069706763545
580.8382443681718,0.2872,0.7,0.5184984521039119,0.5159442237602816,0.5065078317557228
580.8382443681718,0.2872,0.8,0.5326466634955141,0.5338239524456121,0.5203731934248762
580.8382443681718,0.2872,0.9,0.543671025125223,0.547948739633124,0.5317985385543349
580.8382443681718,0.2872,1.0,0.5521201674463971,0.5591341529303706,0.5411251495465136
580.8382443681718,0.2872,1.1,0.5584781803706029,0.5680233193446607,0.5486687880364869
580.8382443681718,0.5,0.4,0.45434922394334154,0.4286614750904894,0.45214198170980013
580.8382443681718,0.5,0.5,0.48131997662796483,0.4645692442454052,0.47568167199633365
580.8382443681718,0.5,0.6,0.503333331297918,0.49319834133694956,0.4955783749182965
