pool,window,side,feature,coef,se,delta,delta_se,coef_playoff,se_playoff,n_po_rows,lam_delta,side_name,stat,delta_z,sign_convention
era_third,2007-2016,O,fg2m,0.7632,0.061,0.023,0.1965,0.7862,0.1977,46862,100.0,offense,2PM,0.117,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg2_miss,-0.5658,0.0546,-0.1717,0.171,-0.7375,0.1726,46862,100.0,offense,2P miss,-1.0043,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,ftm,0.5726,0.0471,0.2106,0.1337,0.7832,0.135,46862,100.0,offense,FTM,1.5753,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,ft_miss,-0.4449,0.1088,-0.6875,0.2836,-1.1324,0.2892,46862,100.0,offense,FT miss,-2.4243,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,orb,0.5053,0.0744,0.34,0.2225,0.8453,0.2239,46862,100.0,offense,ORB,1.5278,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,drb,0.0654,0.0392,-0.0308,0.1197,0.0346,0.1198,46862,100.0,offense,DRB,-0.2573,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,ast,0.5023,0.0386,0.0716,0.1211,0.5739,0.1215,46862,100.0,offense,AST,0.5911,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,tov,-0.8884,0.1101,0.2035,0.3248,-0.6849,0.3296,46862,100.0,offense,TOV,0.6266,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,stl,0.8036,0.1205,0.0522,0.3362,0.8557,0.339,46862,100.0,offense,STL,0.1551,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,blk,-0.1499,0.0828,0.6284,0.2684,0.4785,0.2677,46862,100.0,offense,BLK,2.3414,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,pf,-0.249,0.0539,-0.1556,0.1777,-0.4046,0.1781,46862,100.0,offense,PF,-0.8757,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg3m,0.1699,0.1827,0.3184,0.5173,0.4883,0.5288,46862,100.0,defense,3PM,0.6155,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg3_miss,-0.3055,0.1116,-0.3952,0.3233,-0.7008,0.3299,46862,100.0,defense,3P miss,-1.2225,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg2m,-0.0095,0.0706,0.146,0.1968,0.1365,0.2016,46862,100.0,defense,2PM,0.7417,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg2_miss,-0.2118,0.0633,-0.2059,0.1713,-0.4176,0.1762,46862,100.0,defense,2P miss,-1.2015,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,ftm,0.1795,0.0558,-0.1554,0.134,0.0241,0.1387,46862,100.0,defense,FTM,-1.1597,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,ft_miss,-0.2773,0.1273,-0.2243,0.2842,-0.5017,0.2979,46862,100.0,defense,FT miss,-0.7894,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,orb,-0.1845,0.086,0.2266,0.2231,0.0421,0.2289,46862,100.0,defense,ORB,1.0156,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,drb,0.4516,0.0452,-0.0131,0.1199,0.4385,0.1223,46862,100.0,defense,DRB,-0.1091,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,ast,0.1846,0.0443,-0.156,0.1213,0.0287,0.1237,46862,100.0,defense,AST,-1.2859,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,tov,-0.7492,0.1281,0.6891,0.326,-0.0601,0.3379,46862,100.0,defense,TOV,2.1141,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,stl,1.4055,0.1415,-0.0274,0.3369,1.3781,0.3482,46862,100.0,defense,STL,-0.0813,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,blk,0.717,0.0958,-0.5328,0.2691,0.1842,0.273,46862,100.0,defense,BLK,-1.9796,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,pf,0.1571,0.0618,-0.1511,0.1781,0.006,0.1813,46862,100.0,defense,PF,-0.8486,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg3m,1.4724,0.244,1.3239,0.7219,2.7964,0.7324,46862,100.0,total,3PM,1.8339,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg3_miss,-0.4009,0.1492,-0.874,0.4482,-1.2749,0.4543,46862,100.0,total,3P miss,-1.95,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg2m,0.7537,0.0934,0.1689,0.2831,0.9227,0.2869,46862,100.0,total,2PM,0.5968,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg2_miss,-0.7775,0.0835,-0.3776,0.2446,-1.1551,0.2491,46862,100.0,total,2P miss,-1.5437,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,ftm,0.7522,0.0732,0.0552,0.1914,0.8073,0.1955,46862,100.0,total,FTM,0.2882,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,ft_miss,-0.7222,0.1675,-0.9119,0.4053,-1.6341,0.4183,46862,100.0,total,FT miss,-2.2501,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,orb,0.3208,0.1144,0.5666,0.3206,0.8873,0.3252,46862,100.0,total,ORB,1.7671,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,drb,0.5171,0.0604,-0.0439,0.1722,0.4732,0.174,46862,100.0,total,DRB,-0.2547,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,ast,0.687,0.0589,-0.0844,0.1659,0.6026,0.168,46862,100.0,total,AST,-0.5086,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,tov,-1.6376,0.1686,0.8927,0.448,-0.7449,0.4607,46862,100.0,total,TOV,1.9925,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,stl,2.209,0.1866,0.0248,0.484,2.2338,0.4928,46862,100.0,total,STL,0.0512,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,blk,0.567,0.1269,0.0956,0.3761,0.6627,0.3787,46862,100.0,total,BLK,0.2543,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,pf,-0.0919,0.0826,-0.3067,0.2592,-0.3986,0.2615,46862,100.0,total,PF,-1.1832,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg3m,1.3474,0.1602,0.0414,0.0734,1.3888,0.1747,46862,1000000.0,offense,3PM,0.5644,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg3_miss,-0.1182,0.0982,0.0158,0.0652,-0.1023,0.1164,46862,1000000.0,offense,3P miss,0.2429,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg2m,0.7609,0.0605,0.0071,0.0637,0.768,0.0856,46862,1000000.0,offense,2PM,0.1117,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,fg2_miss,-0.5707,0.0542,-0.0478,0.0615,-0.6185,0.0799,46862,1000000.0,offense,2P miss,-0.7771,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,ftm,0.5819,0.0467,0.0484,0.0614,0.6302,0.0745,46862,1000000.0,offense,FTM,0.7876,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,ft_miss,-0.4798,0.1078,-0.039,0.0743,-0.5188,0.1285,46862,1000000.0,offense,FT miss,-0.5256,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,orb,0.5223,0.0737,0.0111,0.0718,0.5334,0.1003,46862,1000000.0,offense,ORB,0.1547,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,drb,0.0602,0.0389,0.0343,0.062,0.0945,0.0703,46862,1000000.0,offense,DRB,0.5525,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,ast,0.5014,0.0383,0.0334,0.0578,0.5348,0.0668,46862,1000000.0,offense,AST,0.5778,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,tov,-0.8708,0.1092,0.0212,0.0749,-0.8496,0.1305,46862,1000000.0,offense,TOV,0.2829,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,stl,0.8042,0.1191,-0.0054,0.0763,0.7988,0.139,46862,1000000.0,offense,STL,-0.0708,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,blk,-0.1175,0.0818,0.0634,0.0747,-0.0541,0.1081,46862,1000000.0,offense,BLK,0.8489,positive = good on both sides; total = offense + defense
era_third,2007-2016,O,pf,-0.2563,0.0534,-0.0439,0.069,-0.3002,0.0847,46862,1000000.0,offense,PF,-0.6361,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg3m,0.1849,0.1815,-0.0192,0.0734,0.1656,0.1945,46862,1000000.0,defense,3PM,-0.2621,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg3_miss,-0.3194,0.1109,-0.0533,0.0652,-0.3727,0.1274,46862,1000000.0,defense,3P miss,-0.8175,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg2m,-0.0041,0.0702,-0.0024,0.0637,-0.0065,0.0928,46862,1000000.0,defense,2PM,-0.0383,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,fg2_miss,-0.2183,0.063,-0.0148,0.0615,-0.2331,0.0862,46862,1000000.0,defense,2P miss,-0.2404,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,ftm,0.175,0.0554,-0.0616,0.0615,0.1134,0.0803,46862,1000000.0,defense,FTM,-1.0024,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,ft_miss,-0.2908,0.1265,-0.018,0.0743,-0.3089,0.1447,46862,1000000.0,defense,FT miss,-0.2427,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,orb,-0.1739,0.0854,0.0248,0.0719,-0.1491,0.1093,46862,1000000.0,defense,ORB,0.3445,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,drb,0.4525,0.0449,0.0125,0.062,0.465,0.0739,46862,1000000.0,defense,DRB,0.2017,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,ast,0.1791,0.044,-0.0086,0.0579,0.1705,0.0703,46862,1000000.0,defense,AST,-0.1492,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,tov,-0.7201,0.1275,0.0228,0.0749,-0.6973,0.1462,46862,1000000.0,defense,TOV,0.304,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,stl,1.4023,0.1404,-0.0056,0.0763,1.3968,0.1577,46862,1000000.0,defense,STL,-0.0729,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,blk,0.6955,0.0949,-0.0292,0.0747,0.6663,0.1184,46862,1000000.0,defense,BLK,-0.3907,positive = good on both sides; total = offense + defense
era_third,2007-2016,D,pf,0.1512,0.0614,0.0146,0.069,0.1658,0.0901,46862,1000000.0,defense,PF,0.2121,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg3m,1.5323,0.242,0.0222,0.104,1.5545,0.2614,46862,1000000.0,total,3PM,0.2135,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg3_miss,-0.4376,0.148,-0.0375,0.093,-0.475,0.1727,46862,1000000.0,total,3P miss,-0.403,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,fg2m,0.7568,0.0928,0.0047,0.091,0.7615,0.1269,46862,1000000.0,total,2PM,0.0514,positive = good on both sides; total = offense + defense
